timestamp,event_slug,market_slug,away_team,home_team,outcome,player_name,prop_type,line,true_prob,polymarket_ask,expected_payout_per_1,edge_pct,token_id,executed,error
2026-01-20T16:11:38.798979,nba-lac-chi-2026-01-20,nba-lac-chi-2026-01-20-spread-home-3pt5,Los Angeles Clippers,Chicago Bulls,Bulls,,,-3.5,0.506972,0.500000,1.013943,0.70,97865301066923938844659774934335574025451638541474713538139997377010102625778,NO,Trade skipped
2026-01-20T16:11:55.646810,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:12:38.222727,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:13:20.147526,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:14:19.915661,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:15:01.682363,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:15:42.471060,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:16:47.668975,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:17:26.132339,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:18:07.277045,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:18:44.534472,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:19:25.762665,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:20:03.852734,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:20:15.952410,nba-lac-chi-2026-01-20,nba-lac-chi-2026-01-20-spread-home-3pt5,Los Angeles Clippers,Chicago Bulls,Bulls,,,-3.5,0.506972,0.500000,1.013943,0.70,97865301066923938844659774934335574025451638541474713538139997377010102625778,NO,Trade skipped
2026-01-20T16:20:44.588098,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:22:38.549923,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:23:23.977554,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.312614,0.300000,1.042045,1.26,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:24:03.466725,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:24:46.711833,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:25:29.442661,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:26:16.271287,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:27:00.087540,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:27:44.097044,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:28:25.862869,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:29:10.003573,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:29:16.487026,nba-lac-chi-2026-01-20,nba-lac-chi-2026-01-20-spread-home-3pt5,Los Angeles Clippers,Chicago Bulls,Bulls,,,-3.5,0.506972,0.500000,1.013943,0.70,97865301066923938844659774934335574025451638541474713538139997377010102625778,NO,Trade skipped
2026-01-20T16:29:45.856054,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:30:37.660961,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:31:21.609930,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:32:04.850680,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:32:48.273397,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:33:31.299677,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:34:12.518006,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
2026-01-20T16:34:57.292904,nhl-ott-cbj-2026-01-20,nhl-ott-cbj-2026-01-20-spread-away-1pt5,Ottawa Senators,Columbus Blue Jackets,Senators,,,-1.5,0.314523,0.300000,1.048411,1.45,37798449537196695142003743527153479833358610452412628738202327200472826680753,NO,Trade skipped
2026-01-20T16:35:19.662044,nba-lac-chi-2026-01-20,nba-lac-chi-2026-01-20-spread-home-3pt5,Los Angeles Clippers,Chicago Bulls,Bulls,,,-3.5,0.506972,0.500000,1.013943,0.70,97865301066923938844659774934335574025451638541474713538139997377010102625778,NO,Trade skipped
2026-01-20T16:35:38.733918,nhl-bos-dal-2026-01-20,nhl-bos-dal-2026-01-20-spread-home-1pt5,Boston Bruins,Dallas Stars,Stars,,,-1.5,0.362031,0.350000,1.034375,1.20,6779856031335711878427150799049628173930342728982974160634799440476066366612,NO,Trade skipped
