timestamp,event_slug,market_slug,away_team,home_team,outcome,player_name,prop_type,line,true_prob,polymarket_ask,expected_payout_per_1,edge_pct,token_id,executed,error
2026-01-18T05:07:19.114955,nba-cha-den-2026-01-18,nba-cha-den-2026-01-18,Charlotte Hornets,Denver Nuggets,Hornets,,,,0.464516,0.450000,1.032257,1.45,2222237658694561623137798292003148933038666782480344196213274856537100474798,YES,
2026-01-18T07:18:06.981800,nba-tor-lal-2026-01-18,nba-tor-lal-2026-01-18,Toronto Raptors,Los Angeles Lakers,Lakers,,,,0.502290,0.490000,1.025081,1.23,96759066727342545318495682535895848991600816269083816969275950852123576560046,YES,
2026-01-18T07:37:02.388603,nba-bkn-chi-2026-01-18,nba-bkn-chi-2026-01-18,Brooklyn Nets,Chicago Bulls,Bulls,,,,0.697761,0.690000,1.011247,0.78,107023104855304408382370223069514937474248387276305122106957275417607651866637,YES,
2026-01-18T08:09:54.976944,cbb-washst-sf-2026-01-18,cbb-washst-sf-2026-01-18,Washington State,San Francisco,Washington State Cougars,,,,0.318780,0.310000,1.028323,0.88,13622442856503803385875002762572626647345843126170807561595470570438879425200,YES,
2026-01-18T08:16:48.480364,cbb-flatl-templ-2026-01-18,cbb-flatl-templ-2026-01-18,Florida Atlantic,Temple,Temple Owls,,,,0.445513,0.440000,1.012530,0.55,4205114382047677435080668373198900476108936417894803475187098592779636643660,YES,
2026-01-18T08:17:39.360680,cbb-wichst-sfl-2026-01-18,cbb-wichst-sfl-2026-01-18,Wichita State,South Florida,Wichita State Shockers,,,,0.287554,0.270000,1.065016,1.76,110193984035020862309636581218370902711908475460190578269297211067568425214460,YES,
2026-01-18T09:04:03.574156,cbb-ntx-tulane-2026-01-18,cbb-ntx-tulane-2026-01-18,North Texas,Tulane,North Texas Mean Green,,,,0.476730,0.460000,1.036368,1.67,46273956657494858407827339060258422120439102340480899114644691708098608423165,YES,
2026-01-18T09:18:28.978125,cbb-pennst-mary-2026-01-18,cbb-pennst-mary-2026-01-18,Penn State,Maryland,Penn State Nittany Lions,,,,0.437956,0.430000,1.018503,0.80,19720515821515797040963584073613999513108298131699469748695726281324750625249,YES,
2026-01-18T09:23:34.271547,nba-por-sac-2026-01-18,nba-por-sac-2026-01-18,Portland Trail Blazers,Sacramento Kings,Trail Blazers,,,,0.439499,0.430000,1.022090,0.95,3428298550464763561719344991345302054138618847181153768369573158116782764520,YES,
2026-01-18T10:28:18.007840,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,Tulsa,UAB,Tulsa Golden Hurricane,,,,0.456078,0.450000,1.013506,0.61,31522176115130666671359372928368220093429864338610705517463715497233037011860,NO,Trade skipped
2026-01-18T10:30:21.370756,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,Tulsa,UAB,Tulsa Golden Hurricane,,,,0.456078,0.450000,1.013506,0.61,31522176115130666671359372928368220093429864338610705517463715497233037011860,NO,Trade skipped
2026-01-18T10:32:23.084223,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,Tulsa,UAB,Tulsa Golden Hurricane,,,,0.456078,0.450000,1.013506,0.61,31522176115130666671359372928368220093429864338610705517463715497233037011860,NO,Trade skipped
2026-01-18T10:34:26.065220,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,Tulsa,UAB,Tulsa Golden Hurricane,,,,0.456078,0.450000,1.013506,0.61,31522176115130666671359372928368220093429864338610705517463715497233037011860,NO,Trade skipped
2026-01-18T10:36:35.658725,cbb-tulsa-uab-2026-01-18,cbb-tulsa-uab-2026-01-18,Tulsa,UAB,Tulsa Golden Hurricane,,,,0.456078,0.450000,1.013506,0.61,31522176115130666671359372928368220093429864338610705517463715497233037011860,NO,Trade skipped
