value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
spread,1.033715,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:46:07.317977+00:00,Magic,-5.5,49723676636211984976447268433089613522891663452657301315195070314475702211792,0.508429,0.250000,2.033715
spread,2.177680,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:48:44.063649+00:00,Magic,-5.5,49723676636211984976447268433089613522891663452657301315195070314475702211792,0.508429,0.160000,3.177680
