value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
spread,0.569656,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:41:32.551901+00:00,Grizzlies,-3.5,53754440399940665285260225569183132161657880472643109854049085434653287220107,0.502290,0.320000,1.569656
spread,1.790499,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:47:09.047990+00:00,Grizzlies,-3.5,53754440399940665285260225569183132161657880472643109854049085434653287220107,0.502290,0.180000,2.790499
spread,2.348599,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:52:34.044647+00:00,Grizzlies,-3.5,53754440399940665285260225569183132161657880472643109854049085434653287220107,0.502290,0.150000,3.348599
