value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
moneyline,1.638333,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:48:40.436774+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.659583,0.250000,2.638333
moneyline,0.713214,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:51:15.543834+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.411171,0.240000,1.713214
moneyline,0.713214,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:53:51.438964+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.411171,0.240000,1.713214
moneyline,0.326360,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:56:27.246381+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.411171,0.310000,1.326360
totals,0.032891,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:56:34.831112+00:00,Over,229.5,25817029995070248377307180356980816734120216914200998389700753941993558119165,0.495788,0.480000,1.032891
moneyline,0.284911,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T19:59:06.403075+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.411171,0.320000,1.284911
moneyline,0.051480,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:04:22.645644+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.588829,0.560000,1.051480
moneyline,0.237661,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:06:59.568920+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.610000,1.237661
moneyline,0.480340,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:09:35.801902+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.510000,1.480340
moneyline,0.398099,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:12:14.217774+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.540000,1.398099
moneyline,0.279616,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:14:51.929353+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.590000,1.279616
moneyline,0.301678,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:17:31.188151+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.580000,1.301678
moneyline,0.279616,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:20:10.844291+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.754973,0.590000,1.279616
moneyline,0.137850,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:22:49.857031+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.466519,0.410000,1.137850
totals,0.236925,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:22:59.459213+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.400000,1.236925
moneyline,0.137850,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:25:28.010508+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.466519,0.410000,1.137850
totals,0.236925,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:25:38.052825+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.400000,1.236925
moneyline,0.166297,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:28:07.076357+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.466519,0.400000,1.166297
totals,0.268641,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:28:16.994023+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.390000,1.268641
moneyline,0.110759,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:30:44.942088+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.466519,0.420000,1.110759
totals,0.302026,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:30:55.110953+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.380000,1.302026
moneyline,0.110759,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:33:26.013634+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.466519,0.420000,1.110759
totals,0.302026,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:33:35.922602+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.380000,1.302026
moneyline,0.367901,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:36:06.479115+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.533481,0.390000,1.367901
totals,0.302026,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:36:16.715286+00:00,Under,228.5,18092334840566620715213055800720064090868621256113410753994896064622968096243,0.494770,0.380000,1.302026
moneyline,0.543460,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:38:47.397223+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.390000,1.543460
moneyline,0.672082,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:41:26.968175+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.360000,1.672082
moneyline,0.504873,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:44:15.767942+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.400000,1.504873
moneyline,1.866426,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:47:03.333665+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.210000,2.866426
moneyline,2.009747,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:49:44.976990+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.200000,3.009747
moneyline,2.540879,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:52:28.121199+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.601949,0.170000,3.540879
moneyline,2.114154,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:55:08.339724+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.130000,3.114154
moneyline,2.114154,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T20:57:48.729717+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.130000,3.114154
moneyline,1.530250,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:00:30.083891+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.160000,2.530250
moneyline,0.840182,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:03:11.926829+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.220000,1.840182
moneyline,0.840182,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:05:54.957975+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.220000,1.840182
moneyline,1.381412,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:08:40.266327+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.404840,0.170000,2.381412
moneyline,0.777560,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:14:07.684916+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.195532,0.110000,1.777560
moneyline,0.029114,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:19:36.929489+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.195532,0.190000,1.029114
moneyline,0.133054,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:22:23.614253+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.804468,0.710000,1.133054
moneyline,0.489756,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:25:12.268314+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.804468,0.540000,1.489756
moneyline,0.962118,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:27:57.020005+00:00,Magic,,11096836371712558403531040950745278965268605884793428625623070164133009300881,0.804468,0.410000,1.962118
moneyline,1.126683,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:30:45.890614+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.220000,2.126683
moneyline,1.227953,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:33:32.010692+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.210000,2.227953
moneyline,5.683859,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:36:17.641336+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.070000,6.683859
moneyline,45.787016,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:39:03.392944+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.010000,46.787016
moneyline,466.870156,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:41:50.698116+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.001000,467.870156
moneyline,466.870156,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T21:44:35.425753+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.467870,0.001000,467.870156
